story_id,premise_id,premise,text,author_type,author_short,author_full,net_upvotes,Column1,_1,_2,_3
new_0a,0,"You don't know it, but you're the child of a hivemind. Your surprised it by being born with your own consciousness, and since then, it's hidden its true nature. Now, your ""mom"" and ""dad"" have sat you down to reveal the truth.","�Son, we need to talk.�

Of course, here it was. My birthday had been the day before, and it wasn't the first time my dad had tried to start �The talk.�

�Oh� of course,� I said. It was hard to hide the disappointment in my voice; I had been looking forward to picking up the controller as soon as I could, but now I knew it would be a while before I could join the game, especially considering the fact that mom was there too.

�So, what's up.�

Dad and Mom exchanged a glance.

�Your birthday was��

��there is something we��

Both of them went quiet.

�Sorry, you go first,� Dad said to Mom.

�No, go ahead,� Mom turned to face him.

I rolled my eyes, and tapped my foot impatiently. I didn't want to be mean, but I really needed to get out of the talk as soon as I could.

Dad nodded.

�Now that you're� you're all grown up�well, not really but�� he paused. �What I mean is, there are certain things you should know about at this age, and maybe you haven't really thought of them before.�

I knew where this was going.

�What your father is trying to say,� Mom started, �is that we want to make sure that all of this doesn't come as a shock to you.�

�Right, right!� Dad snapped his finger. �It's a lot better if we talk about it now, instead of you having to discover everything yourself.�

This was getting awkward. I sighed.

�No, Dad, it's ok; I know.�

Mom turned to look at me. �Well� I don't think you do� you really need to understand what is happening, now that you're older.�

I gave up. There was no way I was going to get out of this talk before the next round started on my game. I accepted my fate and sat down on a cushion.

�Alright son,� my dad said, �so� do you feel different, now that you're older?�

I rolled my eyes. �I guess.�

�Of course, and that's great��

�We want you to know that it's perfectly natural,� my mom interrupted him, �even if it took you a little longer.�

I raised an eyebrow.

�Wait what? I hit puberty like years ago! Mom!�

Mom and Dad exchanged a long glance, then dad sighed.

�That's not what we're talking about, son. What we're talking about is: do you feel any different about, let's see� who you are?�

Now I was entirely confused, and I looked at both of them for a while before Dad spoke again.

�We will always love you no matter who you are, kiddo,� Dad said, �you are a very special boy.�

�Exactly, and we noticed some time ago that, well, you're different,� Mom was speaking slowly, as if considering her words very carefully, �and to be honest, we're not exactly sure how to talk to you about it.�

I was speechless.

�Even though we don't fully understand how to talk to you about what you're feeling, we want to help you no matter what, and we will love you all the way.�

�Mom! Dad! I'm not gay!� I was so confused. �Is that what this is about?�

�No! Not at all,� Dad said, and mom put her head in her hands, �it's just� we don't know how to explain this to you!�

�Seriously, guys, just tell me,� I said plainly.

�Alright, alright,� Mom said, �I'll do it! Listen, son, we are your parents, but really, you are not a part of us like your sister is. What I'm saying is��

�No fucking way!�

�Language!� Mom said, putting her hand on her forehead. �Look, you will always be our son, and you are just as much a part of this family as your sister is, but you're not� let's see� just like your sister.�

�Yeah�� Dad was looking at the floor. �Your sister is different because she's a part of us, while you're your own person� you're not related to��

�Holy shit! I'm adopted!�

�No! That's not it!� Dad shot to his feet. �Just let us finish!�

�You guys! Why is this so hard to explain? Just say it, please!� My head was starting to hurt. �This is an actual rollercoaster!�

There was a brief moment of silence.

�This is going to be hard to explain, son,� Dad was serious now.

I knew something important was about to be said.

�Your mom, she thinks like me. She doesn't just think like me; she thinks with me. I think with her, and your sister, and everyone else in this world.�

I raised an eyebrow, but as soon as I noticed how serious they both were, I lowered it. I was going to speak, but I closed my mouth upon realizing that I was too confused to speak m.

�You know how the brain has billions of neurons, and how it thinks with all of those neurons together?�

�Yeah�� I practically whispered.

�Well, does each individual neuron have its own consciousness, or do they work together to form one, big consciousness?�

�What are you even saying?� I had forgotten entirely about my game at this point. In fact, I had even forgotten what we were talking about before.

�Well, your father and I,� Mom was talking now, �we're each one of those neurons, and we each help form the consciousness, but the consciousness is not �us�... it's 'I�.�

I was frozen in place, still trying to understand.

�Son, do you understand what we are talking about?�

At that moment, I wished it had been �The talk.�",Human,Human-Advanced,Human-Advanced,264,,,,
new_0b,0,"You don't know it, but you're the child of a hivemind. Your surprised it by being born with your own consciousness, and since then, it's hidden its true nature. Now, your ""mom"" and ""dad"" have sat you down to reveal the truth.","The hills I had known were really mountains, and my whole life I had lived on a plateau.

I turned away from the lands far below me, towards Mother, who sat cross-legged beside me on the ledge.

""This was on the other side the whole time?"" I asked.

""Yes,"" she said. ""And no. What you see down there... the jungle, the cities, the people... it is hard to tell from here, but they are always changing. They are not like we are in the village. There, creatures are born, they live, they suffer, and they die.""

""But we do those things,"" I pointed out. ""Don't we?""

Seated on my other side, Father chimed in. ""It seems that way to you because you are not connected. For everyone else... our bodies are born, and they live, and they die as well. But there is a place beyond this world that your eyes can see and your hands can touch. In that place we are always together. And from there, those who have departed can always return.""

""When I grew you in my womb, you were to be she who had last been the mother of the father of the mother of my mother,"" Mother murmured. ""But what emerged from me was not. You were you, and only you. Something new.""

""So everyone I've ever known has actually been... really old?"" I frowned. Even as I asked it, the question seemed inadequate. But what could I say to express the full scope of my confusion?

""Why am I not like you?"" I tried. ""Why didn't you tell me?""

""We are telling you,"" said Mother.

""Your mind was insufficiently developed before now,"" said Father. ""The truth would only have distressed you.""

""Would it?"" I asked. ""Wouldn't it be normal, if I had known all along?""

My parents shared a glance. It was a look free of all searching, of that uncertain moment during which one tries to find one's own thoughts reflected in another's face. Their heads simply swiveled to face each other, more precise than the finest puppets, and as their eyes met I was struck by the impression of a communion as perfect as it was silent.

They turned back to me.

""It is possible,"" said Father. ""We were working from old memories, from the time when all of us were truly children. But that was a long time ago, and you are unique. So our guesses at your capabilities may have been accordingly wrong.""

""We were trying to be safe,"" said Mother. ""We could not touch your mind, and we did not know how you came to be as you are. All we could do was treat you as what you appeared to be�an ordinary child. We tried... we tried to raise you well.""

""So I was ordinary and unique?"" I tried to keep the acid from my voice. For all that these creatures had deceived me, they were also my parents. I heard it in their voices, even as something beyond the both of them echoed there as well.

Mother gestured to the land below, where smoke wisped up from hamlets amid the sprawling jungle, and city towers rose above the far horizon.

""Down there you would be ordinary,"" she said. ""We were all like that, once. But a long time ago our people came to the Pale Mountains, and here we found a way to change ourselves. It was a better way�a way with no pain, no death, no loneliness, no conflict.""

""And what about me?"" I asked. ""I can feel pain. I can be lonely. I can disagree. And I will die.""

""You don't have to,"" said Father. ""You can join us. It is possible.""

That was not unexpected after everything. Yet how could I seriously consider the possibility when I hardly comprehended it? The one thing I clung to was the fact that they had left me out of this joint entity until now. That had to mean something. Maybe it was somehow important that I choose this freely. The question, then, was what exactly would I be choosing between.

""And what if I don't want to?"" I asked slowly.

""Then there is only one place for you to go,"" Mother whispered. Her eyes flickered to the escarpment. It was perilous, nearly vertical, rising from the foot of the mountain to where we sat above the thinning clouds. No body could survive that drop, even if it managed to avoid the wicked-looking outcroppings studding the slope.

As we were speaking, the other villagers had come up the path leading to the ledge, packed into a phalanx that filled the narrow space and eliminated any chance of returning that way. Aunt Laku and Cousin Qor stared at me from the vanguard, but I felt equally the gaze of all the hundred-and-seventeen other eyes behind them.

""You must understand,"" said Father. ""We cannot take the risk that you would leave, and reveal us to the outside world.""

I looked into my parents' faces. That thing lurked behind their features, that thing that was them and too many others besides. But even it could not fully steady the quivering in their lips, nor smooth the subtle creases of fear in their brows.

I opened my mouth to reply.",Human,Human-Intermediate,Human-Intermediate,74,,,,
new_0c,0,"You don't know it, but you're the child of a hivemind. Your surprised it by being born with your own consciousness, and since then, it's hidden its true nature. Now, your ""mom"" and ""dad"" have sat you down to reveal the truth.","""I've been so alone for so long, but finally, I have a friend! And now that you know, I'm so happy I can finally be myself around you!""

The chorus was... defeaning. And extremely unnerving. Every one of who you thought were you family members looked at you with the exact same expression. Mom, dad, your sister Grace, your brother Kyle, Aunt Betty, Uncle Sam,your cousin Jake, your best friend Amanda, your girlfriend Marie... each with a weird, manic smile on their lips.

The exact. Same. One.

It truly hits you now; its all the same person. They are all connected, and have never been for your entire life. The things you had done with one, you had done with all. There are no secrets, as they all share the same mind. There never were. Because your best friend is your uncle, and your girlfriend, and your parents...

Hoooolllyy... you slept with your parents. Or did you?

The implications of this revelation are staggering. Your life has been a lie. A fabrication of this one mind, hell-bent, as it seems, on fostering this individuality you have. For the sole purpose of not being alone anymore.

As you ponder this, the... mind waits excitedly for your reaction. They all seem to be bursting with hope, and an ever so slight twinge of utter and total mind-bending desperation. You look through the living room window. Everyone you have ever known, crossed paths with, or knew of, was there. Just as your family inside the house... they were waiting.

""I... I don't... I don't know know how to handle this...""

They all frown. Then, in one identical movement, they start towards you.

""Please don't be scared! I know this is hard, but trust me. This time, I'll be with you every step of the way, and we'll get through this together! Then we'll be the bestest of friends, and I'll finally never be alone ever again! You will change everything! I can't wait to be everybody that you wish me to be. I love you, and, in time, you will learn to love all of me, not just the small parts.""

A shiver runs down your spine as the weight of their words came crashing down on you. This was not a negotiation nor a choice.

This has just become your life.",Human,Human-Novice,Human-Novice,20,,,,
new_1a,1,"You wake up to fund your friend standing over you with an axe, and all they say as they raise it is, ""Don't say a word, and don't move an inch.""","""Don't say a word, and don't move an inch.""

The axe shines, the hands shake. Paul is wide-eyed, hefting it higher, palms slippery against the wooden handle.

I don't move; I flounder, begin to form the word no, see him shake his head. And it's only then, as I make that slight movement, that I see the blood dripping down over my sheets. Great waves of it, long cuts and a wooden stake pinning my forearm to the headboard and I freeze -- cold, shivering.

I try to beg him for my life with my eyes. I love him, I've loved him since college, and we've--

The axe falls.

Unconsciousness wrestles my pain away.

--/--

I wake up in stark white. Starched sheets, the chemical-smell of a hospital. I recognize it from when my grandfather passed, the bleach stinking up the sweet ripeness of death.

""You're awake.""

Paul says it without so much as a change of expression. I immediately fumble to the side and see in the place of my arm a bandaged stump, and beside Paul his wife Joanne, holding his hand with a Stepford smile. Blonde hair, carefully straightened, red lips staining white teeth redder.

""I hope you understand,"" Joanne is saying sweetly. ""You were sleeping with my husband, after all.""

""No."" My voice is a hoarse scrape in my throat, and I cough as I try to clear it. ""No, we never--""

""He told me everything."" Her long nails tighten over her expensive purse, tipped claws tearing at fine leather. Her smile doesn't waver. ""All of those long Sundays spent golfing...""

She snorts and rolls her eyes. ""But that's all over, now. The debt's been paid.""

I flinch back as she gives my shoulder a reassuring pat. Her eyes flick over to her husband. ""Plus interest. Tell them what you did, Paul, dear.""

Paul fidgets in his seat. He doesn't look at me, and I want to scream, after everything -- I know his face so well, dreamlike in the haze of early morning, callused hands sweeping across my cheek. Soft kiss and wet skin and--

""I got you fired. From your job."" He mumbles it, at first, and then his wife nudges him to make him say it louder. And the anger comes, then -- red gravity-well and everything sinks, and I thrash against the IVs in my arms, lips peeling back from my teeth. He should've killed me with that axe. Would've been easier than this pain, he should've--

Nurses come by to restrain me, and with the plunge of a needle, my thoughts trail away. I trail away, and when I wake up, they wean me from the pain pills, slow, and I clench against the agony and watch the empty hallways for Paul and Joanne. But they never come back, and my rage -- it turns inward, and festers. It infects me, seeps into my dreams and colors my world bloody once I'm free of the hospital chemicals, draining the last of my meager savings on booze and scrolling through the happy lies of his Facebook page.

Vacation with the kids to Disney World. Ice skating. A-plus report cards. I drain two fingers of whiskey and grab my keys, unsteady. I'm going to Lowe's.

And I'm going to buy an axe.",Human,Human-Advanced,Human-Advanced,96,,,,
new_1b,1,"You wake up to fund your friend standing over you with an axe, and all they say as they raise it is, ""Don't say a word, and don't move an inch.""","Shuffling sand filters through darkness and barely registers with my sleeping brain. A twig snaps and my eyes fly open.

Dara's weathered face looms above me. Flames from our dying fire deepen the valleys around his frown and between his furrowed brows.

My mouth opens to protest; to question what the hell is going on.

""Don't say a word and don't move an inch.""

A breeze breathes life into the fire, and I see it clearly, the glint of a blade�an axe's blade, held in one hand and poised behind his head. Dread clenches my heart and squeezes every ounce of blood from it.

No, no, NO.

My mind races. I had to run through my options and quickly. He's standing over me, both feet beside my thighs. A quick shot to the crotch would bring him down. Too much risk of the axe falling on my face.

The axe hitches back just slightly and he swings to strike. I take one last look at this man I've traveled across the country with. Fought demons with and shared meals by campfire. The one man I thought I could trust.

My eyes squeeze shut and I accept my fate.

A dull thud resonates in my ears. Yet I still breathe. There's no pain. I dare to lift a lid. Dara is heaving for breath, hands on his knees. I practically fly off the bedroll and whirl around to see the axe, stuck in the exoskeleton of the largest camel spider I have ever seen.

""Dara! What the fuck! You could have said something!"" My voice cracked.

""I couldn't,"" He gasped, ""I didn't want�It was trying to eat your brains."" He finally sputters out.",Human,Human-Intermediate,Human-Intermediate,23,,,,
new_1c,1,"You wake up to fund your friend standing over you with an axe, and all they say as they raise it is, ""Don't say a word, and don't move an inch.""","""Uhmmm, Kendrick . . . why you standing over me with an axe? What time is it?""

""Shh. Don't say a word, and don't move an inch.""

""Why?""

""Don't know. You got drunk last night and gave me a hundred bucks to stand over you with an axe while you slept.""

""Why did I do that?""

""Not sure, but a hundred dollars is a hundred dollars.""

""Meh. Okay, then why are telling me not to speak and not to move?""

""B-Because, two hours ago, I accidently farted and scared your wife awake.""

""So.""

""She punched me in the balls, got angry and grabbed your Smith and Wesson out of the night stand and went back to sleep, daring me to wake her up again.""

""Ha, ha. So, if I wake her up, she might shoot? How much is worth to you for me to go back to sleep right now? A hundred buck, maybe?""

""Wha? You bastard. I wasn't trying to save my life. I was trying to save yours.""

""Why would I be in danger?""

""Because, one hour ago, you farted and she cocked gun.""

Jack froze in place and slowly looked to the side, looking with his eyes only. There lying on her pillow in her hand with his wife's finger on the trigger and the barrel pointed at his head was his wife's angelic face and the loaded .45 S&W he bought for home protection.

With slow deliberation, he swiveled his eyes back and locked gazes with his trembling best friend.

""I'll be going back to sleep now, Travis. Good night.""

He slowly closed his eyes while making sure not to move a muscle. In his mind, he was praying to whichever deity might be listening.

However, he was pretty sure none of them were listening, because a second later, Travis sneezed and his wife's pillow clicked.",Human,Human-Novice,Human-Novice,9,,,,
new_2a,2,"one ordinary morning, you board the subway for work. your stop is just a few stations away�but it never comes. you double-check the map; your station is there. yet, no matter how long you ride, the train never stops there.","I looked at the screen--No, I have been staring at it for a while now.

'Next stop: Kisaragi Station'

I wasn't familiar with that station. I don't think such a station even existed. And even if I wanted to confirm its existence...

...I don't think I can.

However, I knew my station would come after. I don't why, but I was sure of it.

But when?

Through the window, all I could see was a never-ending tunnel as its faint, yellow lights zipped past with each passing second.

It didn't make sense. I should be calling the police right now or something. So why? Why was I standing, grasping the pole for support?

Other than her, no one else was seated. So why didn't I just rest? I had stood long enough, no?

The compartment door opened as another familiar face strode in for the 617th time. Why was I counting?

""Your ticket?"" The conductor asked with the same stern tone, adjusting his cap.

I felt my pockets as usual. The four pockets of my pants, the one of my shirt, the four of my coat. Yet, no tickets.

He sighed, walking away into the other compartment, again, ignoring the lady seated before me. Why didn't he ask for her tickets?

Actually, why was she here?

I leaned down to see her face. My heart thumped. I wanted to reach my hand out to her, but I didn't. My guts told me not to.

She held a brochure in her hands, one whose smell I was familiar with. So why? Why was her head leaned to a depressing level? Why was she crying?

I didn't give her those flowers to make her cry.

Again, I looked back at the screen-- At the name of the unchanging, unfamiliar station.

Again, the conductor asked for my non existent ticket.

Again, I extended towards her, quickly retreating.

Again, I was puzzled by the station's name.

Again, I was questioned by the conductor.

Again, I wanted to grab her in my embrace.

Again.

Again.

And again.",Human,Human-Advanced,Human-Advanced,19,,,,
new_2b,2,"one ordinary morning, you board the subway for work. your stop is just a few stations away�but it never comes. you double-check the map; your station is there. yet, no matter how long you ride, the train never stops there.","At first, I thought I was too sleepy, after all, it was Monday morning.
Then I watched as the subway stopped, again and again, but never at my stop.
Which was extremely weird, considering I had to ride only like four or five stops usually.
I checked the map, again, and again, and yes, my stop was there, yet no matter how long I wait...this subway never stops there.
I waited for 10 more minutes, and stepped outside the subway.
Waited for the next train, and lo and behold...the same thing ensued.

It's been ages, or so I felt, yet my watch said only 5 minutes passed.
Weird, considering I waited previously more than 10 minutes, but sure, why not?
I looked at my watch as we stopped, once, twice, three times, four times and then...
It resetted?
From 8:05 to 8:16 everything was fine, and then, it was 8:05 again.
I sighed.
""Was I in a goddamn loop?"" I muttered, exiting the train at the ""next"" stop.

I walked out of the subway station, and went by foot a few blocks, and then a few blocks more, and in the end, I arrived at the entrance of the subway station again.
Sighing, I went down, and entered the train.
It was quiet.
I didn't feel hungry, nor tired, as I went around the loop countless times.
""Is this a mobius strip?
Or is this a glitch in the matrix?"" I muttered, trying to calm myself down, before planning how to stop this.
So, after a few 10 minutes cycles, I exited the subway, and went...home, which was in the opposite direction of my work.
I arrived home at 8:21.

I wrote to my boss that I will work from home, and he said no, that we have an important meeting, and I should try my best to arrive at the office.
So, I went back down, it takes me roughly 15 minutes to arrive at the subway...and it was 8:05 again.
Sighing, I went up again, took a cab, and poor fella told me his family's story a hundred times before I stopped him just a ""few"" blocks away.
I went back home, wrote to my boss that due to the space-time continuum's reluctance to allow me to go to work, I shall take a day off.
He agreed, and told me to get better as soon as possible.
I might be crazy, insane...but I spent the day sleeping, and cooking, and yet, the very next morning...
The same thing repeated again.
It only happens when I try to go to work, because if I want to go to the mall, which is in the same direction...nothing happens.
""The hell happened at the company? And why am I not allowed to go there?"" I muttered, sipping on a cup of tea, not that I cared that much, but it was a curious case nonetheless.",Human,Human-Intermediate,Human-Intermediate,8,,,,
